"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"13-Feb",1.272064,0,0,6.749732,30.81883,0,1.304465,,0,7.910613,3.408816,0,6.571386,3.028407,0,0,0,0,5.569379,1.776502,2.788967,0,0,3.881508,2.992048,9.337579,0,0,0,0,8.912213,0,0,0,0,0,0,0,9
"14-Feb",3.33468,,,9.278309,2.326242,0,0,,,0,6.794283,4.817296,0,0,0,0,0,0,7.243591,0,1.852065,0,1.194851,0,0,37.3704,0,1.03205,0,0,7.794751,4.820518,0,0,1.508271,0,0,8.730168,9
"15-Feb",,,0,0,0,2.214426,0,,0,0,,0,6.169391,0,0,0,0,0,0,0,7.665367,6.247071,0,0.6583734,8.736104,0,0,1.975492,0,0,0,2.370453,0,0,0,0,6.729738,0,18
"16-Feb",0,0,,0,0,7.225456,0,,0,0.4500146,0,0,0,0,0,0,0,0,0,20.46591,2.041451,16.15888,0,0,0,0,0,37.80819,0,0,0,0,3.885716,0,0,0,5.971535,8.840197,0
"17-Feb",6.422493,0,0,9.490079,0,0,0,3.246146,0,0,,0,2.495366,3.280401,0,0,0,0,0,7.071611,0,12.10493,0,0,0,0,0,1.584314,7.433111,0,0,0,0,0,8.35477,0,7.49847,12.90097,18
"18-Feb",,0,0,,0.6479522,0,0,11.36262,0,3.734513,,0,3.743353,0,0,1.197854,0,0,0,2.128292,0,0,0,1.362329,0,0,0,10.61602,5.462765,2.88487,0,0,2.554343,0,1.103718,1.300426,0,0,22
"19-Feb",9.71069,0,0,0,11.13331,1.528086,0,7.943821,0,5.1167,0,0,1.336852,19.48109,0,0,0,0,0,2.855633,0,3.183118,0,4.865883,0,0,0,3.701388,0,0,0,0,15.53231,0,17.18261,5.449737,5.98499,0,0
"20-Feb",0,0,,0,12.0548,0,,5.048073,4.711039,0,0,0,0,18.11391,0,9.011681,0,0,0,0,0,0,0,4.355591,0,0,0,7.602904,0,0.7924483,0,6.040611,0,0,17.71045,22.91292,13.56126,0,0
"21-Feb",0,0,,0,,4.669895,4.738652,10.87691,0,0,0,0,0,6.580701,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16582,0,0,0,0,0,0.590277,5.253558,2.987826,10.61685,0,18
"22-Feb",0,0,0,0,30.51187,0,9.190597,32.67601,8.215748,0,0,6.769507,0,0,0,0,0,0,0,0,0,1.073483,0,0,0,0,0,16.5598,3.431133,0,0,0,0,0,0.8311939,0,9.276226,17.71698,20
"23-Feb",0,0,,0,0,0,0,7.083356,5.787969,0,0,8.667881,2.433328,0,0,0,0,0,5.046012,0,0,5.769238,0,6.187133,0,0,0,2.6332,0,0,0,0,0,0,3.606134,0,5.28637,0,9
"24-Feb",0,0,,0,6.576874,2.129401,0,6.854854,5.890877,0,2.725612,52.013,5.272123,3.925209,0,0,0,0,1.873237,0,0,0,0,1.872956,9.268341,0,2.807497,0,0,0,0,3.769408,0,0,17.33275,0,0,0,24
"25-Feb",0,0,,,0,4.046283,0,,0,0,11.9829,0,0,20.8766,0,0,0,0,0,0,0,0,0,0,10.00979,0,0,14.62062,0,0,0,2.321505,0,0,13.54214,8.598778,0,1.498265,0
